                                                    car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                    
 AC-1200013-D9D61D90F892423CB5EFEF45603784BA;466.501;AC;Acrelândia;0.4665;IRU;AT;Em análise
 AC-1200013-65327ED037164F8884557431F0597A69;618.930;AC;Acrelândia;0.6189;IRU;AT;Em análise
 AC-1200013-66EDE4A517D6414B80809A4F22F9634B;60.647;AC;Acrelândia;0.0606;IRU;AT;Aguardando análise
 AC-1200013-5A2A53D433754708940C3C4CE2BE8D24;61.120;AC;Acrelândia;0.0611;IRU;AT;Aguardando análise
 AC-1200013-5F90A486174D43F5B4571BE0B19DAECA;60.774;AC;Acrelândia;0.0608;IRU;AT;Aguardando análise
 AC-1200013-DF17FAB151FC45089DB7C3772762FD36;972.547;AC;Acrelândia;0.9725;IRU;AT;Aguardando análise
 AC-1200013-5B3A14423A1D452FA0E605F0A96DD79B;571.353;AC;Acrelândia;0.5714;IRU;AT;Em análise
 AC-1200013-6C2882E2471848928E85A559FBE47224;651.419;AC;Acrelândia;0.6514;IRU;AT;Em análise
 AC-1200013-7ADAF37006C34B13B5363B7041A5C0BC;52.277;AC;Acrelândia;0.0523;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-313711C12DC64AE68523BF7E85B6C46A;679.186;AC;Acrelândia;0.6792;IRU;PE;Analisado, aguardando regularização ambiental (Lei 12.651/12)
 AC-1200013-1F699790425E498A9D0AB7AF5FBD1526;270.537;AC;Acrelândia;0.2705;IRU;AT;Aguardando analise
 AC-1200013-FA43F744C22C4038B1E685BD496E4A98;421.244;AC;Acrelândia;0.4212;IRU;AT;Analisado, aguardando regularização ambiental (Lei 12.651/12)
 AC-1200013-0748DB737A034A6F97340E1D93078E5B;61.639;AC;Acrelândia;0.0616;IRU;AT;Aguardando análise
 AC-1200013-3D45C18E7CCE45428CB8F4F3E5858CFD;703.768;AC;Acrelândia;0.7038;IRU;AT;Aguardando analise
 AC-1200013-C3D4F24F3AA4498A800BAEFB55D5C32A;447.063;AC;Acrelândia;0.4471;IRU;AT;Aguardando análise
 AC-1200013-96A9251409AB4A3C96D28488B18F2987;162.763;AC;Acrelândia;0.1628;IRU;PE;Aguardando analise
 AC-1200013-34E299970B8E4AD2AF3538E6EB6E3B50;359.967;AC;Acrelândia;0.36;IRU;AT;Aguardando análise
 AC-1200013-255510B66710406EBE107A1254902607;398.424;AC;Acrelândia;0.3984;IRU;PE;Aguardando analise
 AC-1200013-281A8F9A3F5845B7AF02C91129A0761A;881.977;AC;Acrelândia;0.882;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-EC1F4407CE514B1CB5620E3B021F35B8;380.477;AC;Acrelândia;0.3805;IRU;AT;Aguardando analise
 AC-1200013-43BE15D45CBB4D70A5FA96E0C65B1AA9;373.804;AC;Acrelândia;0.3738;IRU;AT;Analisado, aguardando regularização ambiental (Lei 12.651/12)
 AC-1200013-43935642E1DE4E99960E763FF8C8BB00;354.566;AC;Acrelândia;0.3546;IRU;AT;Aguardando analise
 AC-1200013-012F582E360D4D95B8EE515A7BFF367D;47.861;AC;Acrelândia;0.0479;IRU;AT;Aguardando analise
 AC-1200013-D23BD655AC6144A9A68A27DBED54DAA9;396.839;AC;Acrelândia;0.3968;IRU;PE;Aguardando analise
 AC-1200013-D1B4E76369D540A0874D614BF675EE15;1.495.544;AC;Acrelândia;14.955;IRU;PE;Analisado, aguardando regularização ambiental (Lei 12.651/12)
 AC-1200013-2D46ACBEABE849C6B945735C3A481AB7;443.237;AC;Acrelândia;0.4432;IRU;AT;Em análise
 AC-1200013-2726BF10E35345E6AE36B24878436E3E;399.359;AC;Acrelândia;0.3994;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-884D03BFD987412D85A5D515F0D98E22;589.111;AC;Acrelândia;0.5891;IRU;AT;Em análise
 AC-1200013-4F629D400DB548EE95E2790CFF04C7A3;501.980;AC;Acrelândia;0.502;IRU;AT;Em análise
 AC-1200013-5F9B19A180C044A7AD3EC25B3453C237;512.038;AC;Acrelândia;0.512;IRU;AT;Em análise
 AC-1200013-F56B5DB66D0A43E1A9104F57451B6D27;411.414;AC;Acrelândia;0.4114;IRU;AT;Em análise
 AC-1200013-D329E07747254F8DA9F00B81AD7DD900;765.203;AC;Acrelândia;0.7652;IRU;AT;Aguardando analise
 AC-1200013-2BA19EAA84BD4AC592D9DA602B90A9E5;253.122;AC;Acrelândia;0.2531;IRU;AT;Aguardando analise
