"","cod1","cod","nm_mun","estado","longitude","latitude","nome","pais","id","conferir","sigla","nome1","est1","regiao","bioma","x","y"
"2278","3048","3301850","guapimirim","rj",-42.947464,-22.681583,"sambaquiseujorge","br","br_rj_sambaquiseujorge_3301850",TRUE,"na","Sambaqui Seu Jorge","RJ","Southeastern","Coastal/marine",-22.681583,-42.947464
"2279","3049","3520426","ilha comprida","sp",-47.801944,-24.906667,"sambaquivamiranga","br","br_sp_sambaquivamiranga_3520426",FALSE,"na","Sambaqui Vamiranga","SP","Southeastern","Coastal/marine",-24.906667,-47.801944
"2280","305","1506807","santarém","pa",-54.7811,-2.6403,"cedro","br","br_pa_cedro_1506807",TRUE,"na","Cedro","PA","Northern","Amazon_Forest",-2.6403,-54.7811
"2281","3050","4205407","florianópolis","sc",-48.43209698,-27.44572848,"sambaquivargemdobomjesusi","br","br_sc_sambaquivargemdobomjesusi_4205407",FALSE,"na","Sambaqui Vargem do Bom Jesus I","SC","Southern","Coastal/marine",-27.44572848,-48.43209698
"2282","3051","4205407","florianópolis","sc",-48.43209698,-27.44572848,"sambaquivargemdobomjesusi","br","br_sc_sambaquivargemdobomjesusi_4205407",TRUE,"na","Sambaqui Vargem do Bom Jesus I","SC","Southern","Coastal/marine",-27.44572848,-48.43209698
"2283","3052","3203205","linhares","es",-39.813333,-19.213333,"pp0358","br","br_es_pp0358_3203205",FALSE,"na","PP-0358","ES","Southeastern","Coastal/marine",-19.213333,-39.813333
"2284","3053","3204906","são mateus","es",-39.803333,-18.866667,"pmxoupp0347","br","br_es_pmxoupp0347_3204906",FALSE,"na","PMX ou PP-0347","ES","Southeastern","Coastal/marine",-18.866667,-39.803333
"2285","3054","3204906","são mateus","es",-39.803333,-18.866667,"pmxoupp0347","br","br_es_pmxoupp0347_3204906",TRUE,"na","PMX ou PP-0347","ES","Southeastern","Coastal/marine",-18.866667,-39.803333
"2286","3055","3203205","linhares","es",-39.838333,-19.15,"rd23","br","br_es_rd23_3203205",FALSE,"na","RD-23","ES","Southeastern","Coastal/marine",-19.15,-39.838333
"2287","3056","3205002","serra","es",-40.32,-20.205,"es39","br","br_es_es39_3205002",FALSE,"na","ES-39","ES","Southeastern","Coastal/marine",-20.205,-40.32
"2288","3057","3204203","piúma","es",-40.752607,-20.787426,"sambaquirionovodosul","br","br_es_sambaquirionovodosul_3204203",FALSE,"na","Sambaqui Rio Novo do Sul","ES","Southeastern","Coastal/marine",-20.787426,-40.752607
"2289","3058","3204203","piúma","es",-40.752607,-20.787426,"sambaquirionovodosul","br","br_es_sambaquirionovodosul_3204203",TRUE,"na","Sambaqui Rio Novo do Sul","ES","Southeastern","Coastal/marine",-20.787426,-40.752607
"2290","3059","5106505","poconé","mt",-56.7638,-16.33,"santaelina","br","br_mt_santaelina_5106505",FALSE,"na","Santa Elina","MT","Central-western","Savannah",-16.33,-56.7638
"2291","306","4212270","passos maia","sc",-52.061,-26.782,"celpassosmaia","br","br_sc_celpassosmaia_4212270",FALSE,"na","Cel. Passos Maia","SC","Southern","Atlantic_Forest",-26.782,-52.061
"2292","3060","5106505","poconé","mt",-56.7638,-16.33,"santaelina","br","br_mt_santaelina_5106505",TRUE,"na","Santa Elina","MT","Central-western","Savannah",-16.33,-56.7638
"2293","3061","5106505","poconé","mt",-56.7638,-16.33,"santaelina","br","br_mt_santaelina_5106505",TRUE,"na","Santa Elina","MT","Central-western","Savannah",-16.33,-56.7638
"2294","3062","5106505","poconé","mt",-56.7638,-16.33,"santaelina","br","br_mt_santaelina_5106505",TRUE,"na","Santa Elina","MT","Central-western","Savannah",-16.33,-56.7638
"2295","3063","5106505","poconé","mt",-56.7638,-16.33,"santaelina","br","br_mt_santaelina_5106505",TRUE,"na","Santa Elina","MT","Central-western","Savannah",-16.33,-56.7638
