,id,distancia_quilombola_metros,distancia_ind_metros,distancia_urb_metros,distancia_outros_metros,distancia_militar_metros,distancia_semdes_metros,distancia_pi_metros,distancia_us_metros,distancia_min_metros,distancia_p_metros,distancia_m_metros,distancia_g_metros
56,229,387527.25285790657,17306.49145008751,275966.1574723759,1292.394097937844,60.25605962660019,10431.4389455232,53485.09096278332,26573.810235468587,6327.982114120126,2325.0250580557636,2880.7816939321146,9414.25927436128
57,230,332139.5590190433,11241.095629074724,141195.91509840492,1292.394097937844,8695.758554008988,1913.6921510045677,119163.38107475892,42218.81668160597,4608.124505827633,46.178591986429225,9183.906435559828,12121.681816086937
58,233,366682.35971844266,31605.39669738675,245545.45409338558,1292.394097937844,8695.758554008988,9428.064712391777,22535.71865413234,2658.0880399707125,2274.5041658678374,7740.36066096317,3080.2691083945047,2658.0880399702673
59,234,306131.9505349001,11970.777712856721,141402.98310318607,1292.394097937844,8695.758554008988,165.9417732196092,146022.146337951,63397.06623998104,557.4554064061462,2479.6010635116104,17960.613862707254,30334.811645088907
60,236,375975.3463407993,1296.8134415603583,273589.111627215,1292.394097937844,8695.758554008988,10525.798198385492,23530.663338038936,3509.7052862749124,2448.0132686669745,7096.559180339072,11622.970548834941,615.3544599687272
61,240,464420.2148025732,35583.70988576987,114009.4496524004,1292.394097937844,60.25605962660019,4772.090917830192,69677.90603900839,34056.66134209188,473.12171647493983,1187.4659309597446,5235.570532971029,2034.9399732625723
62,244,364886.0778530678,15899.192009906614,219745.00990959062,1292.394097937844,8695.758554008988,2434.7787287538436,40884.21974489827,1903.6231417652243,1281.5751430784019,4430.060610515432,5754.9981109838,1903.6231417652243
63,245,349608.93233540765,7065.106007575521,157420.60847950503,1292.394097937844,8695.758554008988,676.9547167417585,103315.07112710024,23936.91368635565,13542.603351097858,4870.2175022105885,2553.176521683653,3112.022198426292
64,246,340898.86046096036,6875.204693411623,147474.95257294978,1292.394097937844,8695.758554008988,1913.6921510045677,110757.71383675489,33012.49372231494,6932.467667569887,1833.2042802060073,4522.681380868247,3162.763366870986
65,250,374069.26435623295,5488.434534410688,282667.1186669199,1292.394097937844,8695.758554008988,10525.798198385492,17881.260582524344,3194.453869130623,72.76876493433768,4757.0033803223505,7615.892057221947,828.0911673094113
66,258,219124.30203906726,9575.684140440899,78543.8607451481,10652.372503610111,8695.758554008988,1763.8366589348557,122590.16074747845,27932.486409537672,782.7607684610977,1815.5466630026272,847.1258447273127,4920.666536982636
67,259,240793.65977430265,7091.2037924767565,99615.9304511569,10652.372503610111,8695.758554008988,5550.1854902560435,134787.81184814137,9313.088563695435,222.62276526751415,267.27694448201754,3239.46174555119,8723.76182172855
68,260,365583.35540595057,28408.774716417054,247726.12455376875,1292.394097937844,8695.758554008988,9428.064712391777,20415.029608988654,1544.0917781705884,6051.06605710896,3897.7899100435257,5289.937868266083,1544.091778170143
69,263,379851.5647984567,33590.82268858945,246202.37711953282,1292.394097937844,8695.758554008988,9406.24321648286,38847.517752797154,4280.214675099816,7935.085080861552,152.89124432878555,3640.8956799689227,2014.4461965629068
70,264,381078.53976331116,35955.692470189846,248709.35461393674,1292.394097937844,8695.758554008988,9406.24321648286,39015.727669144806,2537.627146980428,5608.499335806639,2146.7443468934853,3870.3720917692226,2400.943378631884
71,269,451947.5798129204,61581.043310856265,8933.216121712097,1292.394097937844,60.25605962660019,17593.92344290724,4972.486200389211,13048.830980172566,5978.0117370030275,298.09707985150897,9660.180585891452,5482.332882482151
72,273,452665.4224997918,61132.177796847565,8261.960158804146,1292.394097937844,60.25605962660019,17593.92344290724,4565.531535662008,12724.282293150593,6710.8288646148185,253.2245734684918,9873.125805438902,5336.696907602223
73,275,385586.15335275076,13373.50873644941,267100.3140092323,1292.394097937844,60.25605962660019,10431.4389455232,55522.860938962345,15159.75786038082,6804.401583846604,148.49678193518403,5783.5607351076915,13422.754544483181
74,291,363082.72742196,461.3262306879063,186885.07394078202,1292.394097937844,8695.758554008988,30288.84199116424,95189.7369935065,16368.288026159686,20480.52841741491,4117.6321094605655,24668.92758631607,4.710896343756882
75,293,201651.55049644067,13993.476691613574,81656.36730506968,10652.372503610111,8695.758554008988,1542.7190137358118,129827.38208271678,34285.619574788536,550.5267808096069,245.0629956979901,4295.784178780754,13149.479947174677
76,295,159052.57390219462,17339.50949751745,181756.64546075332,1292.394097937844,8695.758554008988,3778.4539305925277,130615.7219204084,41074.45515091402,997.7866744450253,4238.594218454407,2917.4231728570194,5131.534189973967
77,297,117770.33881728003,71641.6108801005,243245.01749485199,1292.394097937844,8695.758554008988,74254.05994094088,94838.60134172185,45314.65061691609,144.82678413782503,435.3223185680959,16232.341049706094,24951.789288569234
78,299,180232.76606629216,87368.24454812669,428788.4368328412,1292.394097937844,60.25605962660019,34240.4087746182,118812.09242365406,37147.37942690861,64640.75862165643,10835.69526260691,7905.077506473769,25779.22752718341
79,302,198402.27042722725,7678.330787999754,61524.81826179238,1292.394097937844,8695.758554008988,94.27900633813992,25754.865079300675,2882.837515736823,48.69730325838087,2805.7070973450864,2966.0007253896106,2835.1108981486486
80,303,156675.56814766157,14731.802896238418,149828.03627554775,1292.394097937844,8695.758554008988,892.8755131951027,109706.32507179854,73193.06095383952,123.58480696259865,779.8616343955484,4958.351832358693,6619.452313944412
81,306,109469.27514090958,74496.30709223784,287871.25058341166,1292.394097937844,8695.758554008988,74254.05994094088,88235.73500560953,51082.362625771486,8496.565151670662,18780.9020811529,28142.861802083902,18046.902264123917
82,307,153867.28961909242,19869.580073379573,105545.17275446988,1292.394097937844,8695.758554008988,15141.577913840401,53700.75832082529,20984.624218065757,3093.1319315755654,6370.405240690449,8993.821352263789,33005.46121887651
83,315,165132.88678545872,54566.30696782089,428273.70577819564,1292.394097937844,60.25605962660019,34240.4087746182,101703.95577236397,32890.940462472776,40742.05362255099,13168.931252280476,1674.080120307541,13468.667229038967
84,317,131131.77361535325,30009.085817023897,178964.46590618519,1292.394097937844,8695.758554008988,892.8755131951027,114469.07721987015,66651.42495257664,6863.850166812929,948.1106442968016,10003.956775116258,2987.408855531098
85,318,117768.59297003283,41550.92339264348,321322.93454953673,1292.394097937844,8695.758554008988,25982.71660756464,101666.55941319284,63467.02159464957,122.25093166435137,2634.1958592177293,6048.686461569496,20585.081469159748
86,319,158866.99009238652,39090.8043203591,417296.86287789256,1292.394097937844,60.25605962660019,34240.4087746182,97692.25841319025,29185.466558352204,29886.10516939642,13108.868886163591,1495.4439564231554,24465.016177385045
87,321,131687.62857297302,29724.04984997767,179720.00874600434,1292.394097937844,8695.758554008988,892.8755131951027,115398.07595949768,65558.74188520368,6182.83749435643,1192.8496179487754,9694.013882739455,2422.3627893064454
88,322,131332.53962037124,29804.222338998774,178856.80012956387,1292.394097937844,8695.758554008988,892.8755131951027,114633.24598712107,66535.28258792317,6662.536885012836,743.8313642178634,9799.092496610057,2792.556506910922
89,326,151511.47428045303,36314.60549368688,120131.92533225266,1292.394097937844,8695.758554008988,15141.577913840401,71893.43186466552,39207.12813204856,1025.5952553758702,13421.140694906375,27168.420751360525,23972.223078413495
90,327,123310.30308906455,66809.89212979384,224633.275423815,1292.394097937844,8695.758554008988,74254.05994094088,102667.5804406348,50474.84069546348,1193.6591892319861,19.989702410247283,17369.052352859606,10623.122907340496
91,329,130861.33421014555,30253.382947421724,178979.363127258,1292.394097937844,8695.758554008988,892.8755131951027,114188.85785198181,66904.46950852739,7084.822965963642,1211.15415953523,10256.830950528027,3265.4160048087715
