"","X","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g"
"1460",1460,1100080,"Costa Marques","RO",-63.99782994,-12.03468271,"Vit?ria",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"1461",1461,1101492,"São Francisco do Guaporé","RO",-63.99219039,-12.08734593,"Primavera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1462",1462,1100080,"Costa Marques","RO",-64.06025199,-11.91769648,"RO-PB-15: Grota Seca",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1463",1463,1100080,"Costa Marques","RO",-64.23015028,-12.14996354,"RO-PB-s/n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1464",1464,1100320,"São Miguel do Guaporé","RO",-62.80180704,-11.76068587,"RO-PB-s/n",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1465",1465,1101500,"Seringueiras","RO",-62.96973365,-11.76478671,"RO-PB-23: Princ?pio",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"1466",1466,1100346,"Alvorada D'Oeste","RO",-62.43359851,-11.51498749,"RO-PB-s/n",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1467",1467,1100320,"São Miguel do Guaporé","RO",-62.57996537,-11.62648223,"RO-PB-s/n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1468",1468,1100346,"Alvorada D'Oeste","RO",-62.30834196,-11.3914739,"RO-PB-s/n",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"1469",1469,1100320,"São Miguel do Guaporé","RO",-62.68317698,-11.71413731,"RO-PB-24: Xibuta?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1470",1470,1100254,"Presidente Médici","RO",-61.97636888,-11.19277083,"RO-PB-s/n",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1471",1471,1100346,"Alvorada D'Oeste","RO",-62.19574709,-11.24069693,"RO-JI-35: Mizael",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1472",1472,1101492,"São Francisco do Guaporé","RO",-63.63543359,-12.06661484,"RO-PB-20: Concei??o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1473",1473,1101492,"São Francisco do Guaporé","RO",-63.38514361,-12.04758166,"RO-PB-16: Carvalho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1474",1474,1101492,"São Francisco do Guaporé","RO",-63.5903063,-12.06283978,"RO-PB-21: Waldemar",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"1475",1475,1101500,"Seringueiras","RO",-63.26565844,-11.96416521,"RO-PB-s/n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1476",1476,1101500,"Seringueiras","RO",-63.17858777,-11.84648981,"RO-PB-22: Miratinga",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1477",1477,1101500,"Seringueiras","RO",-63.19941772,-11.84558836,"RO-PB-s/n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1478",1478,1101492,"São Francisco do Guaporé","RO",-63.77824815,-12.076857,"RO-PB-19: Lopes",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1479",1479,1101492,"São Francisco do Guaporé","RO",-63.92704948,-12.06809362,"RO-PB-18: Fuxico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1480",1480,1100080,"Costa Marques","RO",-64.00323168,-12.05488158,"RO-PB-17: Domingos",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1481",1481,1100106,"Guajará-Mirim","RO",-65.13842,-11.613898,"Vila Nova (RO-PA-03)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1482",1482,1100080,"Costa Marques","RO",-64.17454022,-12.46006862,"Santa F? (RO-PB-04)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1483",1483,1100080,"Costa Marques","RO",-64.212607,-12.432514,"RO-PB-05: Costa Marques",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1484",1484,1100080,"Costa Marques","RO",-64.33598093,-12.43723251,"RO-PB-11: Vi?va",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1485",1485,1100080,"Costa Marques","RO",-64.36393139,-12.44050276,"RO-PB-12: Machupo II",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1486",1486,1100106,"Guajará-Mirim","RO",-64.825282,-12.017119,"RO-PB-14: Ricardo Franco",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1487",1487,1100015,"Alta Floresta D'Oeste","RO",-62.27666667,-13.075,"Rolim de Moura (RO-PN-02)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1488",1488,1100015,"Alta Floresta D'Oeste","RO",-62.21305556,-13.02833333,"Alian?a (RO-PN-03)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1489",1489,1100015,"Alta Floresta D'Oeste","RO",-62.25,-13.05527778,"RO-PN-04: Eleg?ncia",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1490",1490,1100015,"Alta Floresta D'Oeste","RO",-62.56527778,-13.055,"RO-PN-05: Ilha das Flores",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1491",1491,1101492,"São Francisco do Guaporé","RO",-62.90073902,-12.85036367,"RO-PN-06: Pedras Negras",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"1492",1492,1100080,"Costa Marques","RO",-64.52218362,-12.21906546,"RO-PB-13: Renascen?a",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1493",1493,1101492,"São Francisco do Guaporé","RO",-63.13434899,-12.6433827,"RO-PB-01: Limeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1494",1494,1101492,"São Francisco do Guaporé","RO",-63.08113193,-12.66103439,"RO-PB-02: Esp?rito Santo",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1495",1495,1100080,"Costa Marques","RO",-63.7776867,-12.40635131,"RO-PB-03: Belo Horizonte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1496",1496,1100080,"Costa Marques","RO",-64.29297846,-12.45310667,"RO-PB-06: Porto Fran?a",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"1497",1497,1100080,"Costa Marques","RO",-64.34880536,-12.43222857,"RO-PB-07: Lamego",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
