"","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g","d","nrow"
"862",1302603,"Manaus","AM",-60.74267496,-2.465388199,"Terra Preta (AM-MA-10)",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"asusm",36
"863",1302603,"Manaus","AM",-60.43738601,-2.766825516,"Cariri (AM-MA-13)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"864",1302603,"Manaus","AM",-60.44593272,-2.780823633,"Tucunar? (AM-MA-14)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"usg",158
"865",1302603,"Manaus","AM",-60.50585075,-2.818574117,"Vila (AM-MA-15)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"866",1302603,"Manaus","AM",-60.67980349,-2.619510712,"Ubim (AM-MA-19)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"867",1303205,"Novo Airão","AM",-61.42423051,-1.9099202,"S?o Jos? I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"868",1303205,"Novo Airão","AM",-61.43498733,-1.908885235,"S?o Jos? II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"869",1303205,"Novo Airão","AM",-61.32657482,-1.905345549,"Corudique",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sd",288
"870",1303205,"Novo Airão","AM",-61.22563461,-1.939291994,"Camana?",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sd",288
"871",1303205,"Novo Airão","AM",-60.80038836,-2.748884226,"Maraj?",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"872",1302603,"Manaus","AM",-60.35382376,-3.025571762,"Caiau? I",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"pig",38
"873",1302603,"Manaus","AM",-60.38069992,-3.004312609,"Caiau? II",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"pig",38
"874",1300409,"Barcelos","AM",-61.44680002,-1.901424305,"Vista Alegre (AM-BL-01)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"pi",144
"875",1300409,"Barcelos","AM",-61.43069496,-1.899221049,"Samambaia (AM-BL-02)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"pi",144
"876",1300409,"Barcelos","AM",-61.73797315,-1.445766534,"Nova Vida (AM-BL-04)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"877",1300409,"Barcelos","AM",-61.76508722,-1.414096398,"Muaru (AM-BL-05)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"878",1300409,"Barcelos","AM",-62.00622033,-1.391028279,"Carvoeiro (AM-BL-6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"879",1300409,"Barcelos","AM",-61.99229624,-1.394975375,"Engenho Velho (AM-BL-07)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sd",288
"880",1300409,"Barcelos","AM",-62.23668824,-1.338310472,"Puluaca (AM-BL-08)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sd",288
"881",1300409,"Barcelos","AM",-62.47136574,-1.189768585,"Cauaburis (AM-BL-09)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"882",1300409,"Barcelos","AM",-62.58440127,-1.143087249,"Pedro II (AM-BL-10)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sd",288
"883",1300409,"Barcelos","AM",-62.75900605,-1.073118205,"Manauaca (AM-BL-11)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"884",1300409,"Barcelos","AM",-63.12103568,-0.783359407,"Quemacubau (AM-BL-12)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sd",288
